,label_name,correct_label,total_label,accuracy
0,B-PS,8333,8584,0.9707595526561044
1,B-FD,97,198,0.4898989898989899
2,B-TR,382,731,0.5225718194254446
3,B-AF,2809,4338,0.6475334255417243
4,B-OG,19104,22316,0.8560673955906076
5,B-LC,13815,16165,0.8546241880606248
6,B-CV,11403,15317,0.7444669321668734
7,B-DT,14863,15767,0.9426650599353079
8,B-TI,891,957,0.9310344827586207
9,B-QT,18542,19752,0.9387403807209397
10,B-EV,1625,2429,0.6689995883079457
11,B-AM,689,969,0.7110423116615067
12,B-PT,749,964,0.7769709543568465
13,B-MT,329,446,0.7376681614349776
14,B-TM,5970,8412,0.7097004279600571
15,I-PS,11660,11871,0.9822255917782832
16,I-FD,233,290,0.803448275862069
17,I-TR,736,1268,0.580441640378549
18,I-AF,5014,7554,0.6637543023563675
19,I-OG,33791,38585,0.8757548270053129
20,I-LC,14722,17691,0.8321745520321068
21,I-CV,11248,14746,0.7627831276278313
22,I-DT,11217,11750,0.9546382978723404
23,I-TI,435,526,0.8269961977186312
24,I-QT,21941,22719,0.9657555350147453
25,I-EV,3556,5013,0.7093556752443646
26,I-AM,751,935,0.8032085561497326
27,I-PT,757,933,0.8113612004287245
28,I-MT,686,814,0.8427518427518428
29,I-TM,14366,18437,0.7791940120410045
